REF,Company,Company industry,Number of employee,Company description,Job Title,Location,Recruiter name,Recruiter URL profile,Recruiter presentation,Job description,Job URL
1,Braintrust,"Technology, Information and Internet 11-50 employees 348 on LinkedIn","Technology, Information and Internet 11-50 employees 348 on LinkedIn","Braintrust is revolutionizing hiring with Braintrust AIR, the world's first and only end-to-end AI recruiting platform. Trained with human insights and proprietary data, Braintrust AIR reduces time to hire from months to days, instantly matching you with pre-vetted qualified candidates, and conducting the first round phone screen for you. Trusted by hundreds of Fortune 1000 enterprises including Nestlé, Porsche, Atlassian, Goldman Sachs, and Nike, Braintrust AIR is making talent acquisition professionals 100x more effective and saving companies hundreds of thousands of dollars in recruiting costs.
…
show more","English Language Experts - Writers (Freelance, Remote, 20+ openings)
English Language Experts - Writers (Freelance, Remote, 20+ openings)",EMEA (Remote),,,,"About the job
Job Description

English Language Experts

Are you excited about writing, research, and language — and eager to apply your skills to the future of AI?

This is a fully remote, fully flexible role where you decide your schedule. Not only will you be able to implement your writing and language skills in impactful projects, but you’ll also have the opportunity to build passive income forever through our referral program, earning as long as your referred candidates continue working.

📌 To ensure the success of your application, we strongly recommend watching our video guide on the application process before applying.

The Role: Where Your Language Expertise Meets AI Innovation

As an AI Data Trainer, you will:

Develop AI Training Content: Create detailed prompts in various topics and responses to guide AI learning, ensuring the models reflect a comprehensive understanding of diverse subjects.
Optimize AI Performance: Evaluate and rank AI responses to enhance the model's accuracy, fluency, and contextual relevance.
Ensure Model Integrity: Test AI models for potential inaccuracies or biases, validating their reliability across use cases.

Bring your expertise - we’ll take care of the rest with a tailored onboarding experience that sets you up for success from day one.

Your Profile

Apply if this sounds like you (even if not every point applies):

You are a student or graduate with a Bachelor’s or Master’s degree in Linguistics, Communication, or a related field.
You have a strong command of written English, with good grammar, syntax, and stylistic versatility.
You enjoy doing research, exploring new topics, and turning ideas into clear, structured content.
You like creative writing, experimenting with different tones and formats.
You bring an analytical mindset and pay attention to detail, delivering quality work independently.
You might even have experience with AI/LLM training — if so, that’s a great plus, but it’s not required.

Commitment

This is a fully flexible, remote role - you choose when and where you work. To set yourself up for success on the project, it makes sense to dedicate at least 20 hours per week or more, while still keeping a healthy balance that fits your lifestyle.",https://www.linkedin.com/jobs/view/4320232884/
2,Persona,"Staffing and Recruiting 501-1,000 employees 3,262 on LinkedIn","Staffing and Recruiting 501-1,000 employees 3,262 on LinkedIn","Persona embeds the best remote talent into your company, so you can scale your business faster. Fill any open positions within 21 days or less.","Virtual Assistant (Work From Home)
Virtual Assistant (Work From Home)",European Union (Remote),,,,"About the job
Persona is the company top startups use to hire people from all around the world. Our vision is a future where each person can find the best role for them and companies can discover the world’s best talent. Founded by two Stanford University graduates, Persona works with the world’s fastest-growing technology startups. Our clients are funded by some of the world’s top investors, like Founders Fund, Sequoia Capital, and Andreessen Horowitz.

Persona is a talent agency that recruits, trains, and staffs talented remote professionals such as yourself. This is an opportunity to work closely with the future Googles, Facebooks, and Amazons of the world—building out their organizations and helping them reach the next level of success.

We support everyone we hire with training, mentoring, and technology resources so they are enabled to do their best and are as happy as possible in their roles. We have a large international team dedicated to supporting and taking care of new Persona team members, and our goal is to provide excellent long-term career opportunities for everyone who joins the team.

Who’s building Persona?
We are a global team of passionate problem solvers who love to build new things and make our customers happy. Our team is made up of motivated, hard-working people spanning the globe, united by a culture of learning and continuous improvement.

What we’re looking for:
We are looking for Virtual Assistants to help our clients operate and scale different parts of their growing businesses. As a Virtual Assistant you'll be a general problem solver, collaborating with different teams at our client company and helping them with various projects.

Responsibilities—what you'll do:
Drafting emails and handling business communications
Taking video conferences
Interfacing with clients and customers
Scheduling and planning meetings and events
Online research and data collection using spreadsheets
Reporting and analysis
Creative work with writing and media
Other administrative tasks and projects

Requirements:
Fully fluent in English
Skilled in the use of apps and technology
Ability to commit long-term and full-time
Ability to work U.S. business hours (Pacific Time, Central Time, or Eastern Time)
No work experience is required, but we will take any work experience you have into account
This position is for serious, career-oriented candidates

Other qualities we look for:
Track record of success at work or in school
An ability to solve complex problems with minimal guidance
Experience in high performance work or school environments
Skilled at anticipating team members’ needs
Willingness to work hard and persevere
Intellectual curiosity and resourcefulness
Professionalism

What we offer:
Best salaries in the industry
Permanent ability to work from anywhere in the world
Opportunities for growth and advancement
A fast-paced and collaborative environment
Warm and friendly company culture
Full benefits

Benefits at Persona:
Health insurance
Unlimited paid time off (paid sick and vacation leaves)
Annual bonuses based on performance
Monthly tech allowance
Opportunity to be paid in your currency of choice
Others depending on seniority

This is a full-time and long-term role, dedicated exclusively to serving one of our clients. We are looking for individuals who are ready to fully commit their time and energy to one company and grow and develop along with that company. All roles at Persona are 100% work-from-anywhere (work from home or wherever it suits you best). If this is your first time working for a U.S. company, that’s okay; we provide guidance and assistance getting set up as a remote professional. Once hired, we will carefully match you to a client company of ours that perfectly suits your career background, skills, and goals.

In case you or any exceptional people you know are exploring other roles, our rapidly growing company is also looking for new team members with backgrounds in administration, bookkeeping, accounting, finance, project management, operations, recruiting, human resources, content writing, social media management, research, executive assistance, customer service, customer support, technical support, data management, video editing, sales, account management, marketing, and design.

Visit our website for more information: https://www.personatalent.com/",https://www.linkedin.com/jobs/view/4324057159/
3,Twine,Software Development 2-10 employees 145 on LinkedIn,Software Development 2-10 employees 145 on LinkedIn,"Twine is home to a network of over 750k+ freelance experts and 50k+ clients across 195 countries. We connect talented people with flexible work and help businesses find the perfect expert for any project - big or small.

For Businesses & Clients:
Tired of endlessly searching for the right talent? We’ve got you covered. Twine makes it easy to find and hire freelance experts in tech, creative, AI and more. From software developers and graphic designers to animators and content creators. Our global network means you can hire the one-in-a-million expert remotely or locally.

Ready to hire? Head to www.twine.net

For Freelancers, creators and consultants:
Ready to take control of your career and say goodbye to the 9-5? Join our community and discover top-tier projects from clients all over the world. Build your free portfolio and find work that truly inspires you. Forget the endless job boards; we're here to help you do what you love.

Ready to get started? Head to www.twine.net/freelancers

For AI Companies
Need high-quality, human-powered data to train your AI? Our diverse global network of contributors is ready to help. From voice recordings and video datasets to AI model rating experts and annotators, we can get you the custom audio-visual datasets or the AI training expertise you need to take your models to the next level.

Ready to get the data you need? Head to www.twine.net/ai
…
show more","Freelance Singer – Remote
Freelance Singer – Remote with verification",European Economic Area (Remote),,,,"About the job
This role is ideal for a skilled vocalist with a passion for Spanish-language music and a deep appreciation for Latin musical traditions. The selected singer will deliver authentic performances across a range of genres, including flamenco, pop, ranchera, bolero, salsa, and contemporary Latin music. The position is remote, offering flexibility to perform for various audiences at events, private functions, and special occasions without the need for on-site presence. The ideal candidate will bring energy, professionalism, and a strong stage presence to every performance, ensuring memorable experiences for diverse audiences.

Responsibilities

 Perform Spanish-language songs across multiple genres, adapting style to suit event requirements
 Prepare and rehearse setlists tailored to specific audiences and occasions
 Deliver engaging live or recorded performances for venues, restaurants, private events, and special functions
 Collaborate with event organizers to understand performance expectations and logistics
 Maintain high vocal standards and stage presence throughout each performance
 Incorporate audience interaction and engagement techniques as appropriate
 Manage remote performance logistics, including audio setup and delivery of high-quality recordings or live streams

Skills And Requirements

 Proven experience as a singer specializing in Spanish and Latin American music genres
 Strong vocal technique and ability to perform a diverse repertoire
 Excellent command of Spanish pronunciation and lyrical interpretation
 Confident stage presence and ability to engage audiences in live or virtual settings
 Familiarity with remote performance technology and audio equipment
 Ability to work independently and meet deadlines for scheduled performances
 Professionalism, reliability, and strong communication skills
 Availability for flexible scheduling, including evenings and weekends as needed

About Twine

Twine is a leading freelance marketplace connecting top freelancers, consultants, and contractors with companies needing creative and tech expertise. Trusted by Fortune 500 companies and innovative startups alike, Twine enables companies to scale their teams globally.

Our Mission

Twine's mission is to empower creators and businesses to thrive in an AI-driven, freelance-first world.",https://www.linkedin.com/jobs/view/4347508242/
4,Mercor,"Software Development 51-200 employees 2,794 on LinkedIn","Software Development 51-200 employees 2,794 on LinkedIn",We use AI to understand human ability and match talent with the opportunities they're best suited for.,"Freelance Translator | Up to $35/hr
Freelance Translator | Up to $35/hr","Lacaussade, Nouvelle-Aquitaine, France (Remote)",Kuai Y.,https://www.linkedin.com/in/kuai,Mercor | Citadel | Two Sigma | Google,"About the job
About The Job

Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers, and Jack Dorsey.

Position: Linguistic Expert – Italian

Type: Part-time

Compensation: $20–$35/hour

Location: Remote

Commitment: 10 hours/week

Role Responsibilities

Review, evaluate, and annotate AI-generated text in Italian for accuracy, fluency, and cultural alignment.
Provide expert feedback on grammar, semantics, style, and tone.
Develop guidelines and documentation to improve consistency in AI outputs.
Collaborate with researchers to identify language-specific challenges and edge cases.
Suggest improvements for training datasets and linguistic rules.

Qualifications

Must-Have

Fluency in both English and Italian (native-level proficiency in Italian required).
Strong grasp of grammar, syntax, semantics, and stylistics.
Ability to identify and correct subtle linguistic and cultural nuances.
Bachelor’s degree in Linguistics, Translation, Literature, or related field.

Preferred

Prior experience in linguistic annotation, translation, or content review.
Familiarity with AI, NLP, or language technologies.

Resources & Support

For details about the interview process and platform information, please check: https://talent.docs.mercor.com/welcome/welcome
For any help or support, reach out to: support@mercor.com

PS: Our team reviews applications daily. Please complete your AI interview and application steps to be considered for this opportunity.

,",https://www.linkedin.com/jobs/view/4338921509/
5,FLITTO Inc.,Information Technology & Services 51-200 employees 465 on LinkedIn,Information Technology & Services 51-200 employees 465 on LinkedIn,"Flitto is a language data company that provides AI Live Translation and AI/ML data solutions. In July 2019, the company has successfully listed on KOSDAQ for the first time in Korea as a ‘special listing on promising business model’. In addition, the company has established branches in China and Japan, and has been actively participating in the global business scene.

Flitto was established in 2012 with the vision for realization of the world without linguistic borders. After launching the crowdsourced translation service, it continued to expand language-related services such as professional translation, A.I. translation, video subtitle translation, and crowdsourced proofreading. Currently, Flitto provides translation services in 25 languages to more than 14 million users in 173 countries (as of March 2024).

In addition to translation services, Flitto has been developing a linguistic database from its various platforms and providing to various organizations and enterprises. Major business partners of Flitto include global leading enterprises such as Microsoft, Tencent, NTT Docomo, Samsung, and Hyundai Motors.
…
show more","Freelance Translator
Freelance Translator with verification",European Union (Remote),,,,"About the job
Hello!
Flitto is looking for translators fluent in [source language] and [target language], with an interest in translation.

Please read the short job description and fill in the google form below if you’re interested.

*Task type: Human Translation (HT)

*Job details:
-Purpose : Collecting AI training dataset
-Work Location: Fully Remote
-Work Type: Freelancer Contract (work at any time at any place up to your circumstances)
-Especially ideal for those who want to earn extra income other than their regular job - you will be included in our talent pool.
-Students, job seekers, and freelancing translators are welcome.
**This is neither a professional translation nor a localization project; it is a translation task for collecting AI training datasets.

*Language Pair: [source language] → [target language]
*Please select only the language pair(s) specified in the job posting. Any other language pairs will be considered invalid.
*Rate: Based on the source sentence.

-----------

ar_AE-es_ES
- Unit price:
HT: (Translation 1) USD 0.022/ word, (Translation 2) USD 0.013/ word
Approximate payment based on 8,000 words) : 176.0 USD

de_DE-nl_NL
- Unit price:
HT: (Translation 1) USD 0.032/ word, (Translation 2) USD 0.019/ word
Approximate payment based on 8,000 words) : 256.0 USD

es_ES-de_DE
- Unit price:
HT: (Translation 1) USD 0.03/ word, (Translation 2) USD 0.018/ word
Approximate payment based on 8,000 words) : 240.0 USD

fr_FR-nl_NL
- Unit price:
HT: (Translation 1) USD 0.03/ word, (Translation 2) USD 0.018/ word
Approximate payment based on 8,000 words) : 240.0 USD

it_IT-ru_RU
- Unit price:
HT: (Translation 1) USD 0.02/ word, (Translation 2) USD 0.012/ word
Approximate payment based on 8,000 words) : 160.0 USD

nl_NL-de_DE
- Unit price:
HT: (Translation 1) USD 0.03/ word, (Translation 2) USD 0.018/ word
Approximate payment based on 8,000 words) : 240.0 USD

nl_NL-es_ES
- Unit price:
HT: (Translation 1) USD 0.027/ word, (Translation 2) USD 0.016/ word
Approximate payment based on 8,000 words) : 216.0 USD

nl_NL-fr_FR
- Unit price:
HT: (Translation 1) USD 0.027/ word, (Translation 2) USD 0.016/ word
Approximate payment based on 8,000 words) : 216.0 USD

nl_NL-pt_BR
- Unit price:
HT: (Translation 1) USD 0.027/ word, (Translation 2) USD 0.016/ word
Approximate payment based on 8,000 words) : 216.0 USD

nl_NL-ru_RU
- Unit price:
HT: (Translation 1) USD 0.027/ word, (Translation 2) USD 0.016/ word
Approximate payment based on 8,000 words) : 216.0 USD

nl_NL-tr_TR
- Unit price:
HT: (Translation 1) USD 0.025/ word, (Translation 2) USD 0.015/ word
Approximate payment based on 8,000 words) : 200.0 USD

pt_BR-ar_AE
- Unit price:
HT: (Translation 1) USD 0.022/ word, (Translation 2) USD 0.013/ word
Approximate payment based on 8,000 words) : 176.0 USD

tr_TR-ar_AE
- Unit price:
HT: (Translation 1) USD 0.02/ word, (Translation 2) USD 0.012/ word
Approximate payment based on 8,000 words) : 160.0 USD

tr_TR-ru_RU
- Unit price:
HT: (Translation 1) USD 0.022/ word, (Translation 2) USD 0.013/ word
Approximate payment based on 8,000 words) : 176.0 USD


------------

*Preferred qualifications:
-a high level of language fluency in [source language] and in [target language] would be preferred.

*Translation 2 is included in workload only when specifically requested.

*You will work on our platform or an excel file.
*Monthly payments will vary according to actual workload and will be made in USD or Flitto points(cashable via Paypal)
*There will be a quality test before starting a project. Those who pass the test with exceptional scores may receive a Review(RV) task too.
*Specific guidelines will be given when it is ready.

*If you're interested, please fill in the form (link below).
https://form.jotform.com/251889373540466
*Please select only the language pair(s) specified in the job posting. Any other language pairs will be considered invalid.

Thank you.",https://www.linkedin.com/jobs/view/4338758497/
6,Crossing Hurdles,Staffing and Recruiting 11-50 employees 52 on LinkedIn,Staffing and Recruiting 11-50 employees 52 on LinkedIn,"At Crossing Hurdles, we specialise in customised recruitment and staffing solutions designed to drive success for businesses and professionals. Our focus is on connecting organisations with top-tier talent by sourcing, screening, and presenting only the top 1% of candidates across a wide range of industries. We work closely with clients to understand their unique needs, ensuring that we find candidates who not only fit the role but also align with their organizational culture.

Over the past few quarters, we've successfully partnered with leading companies such as Angel One, Ixigo, Turing, Cars24, Veera, ABP Network, Battery Smart, Zavya, and Twin Engineers. Our expertise spans various sectors, including Tech, Product, Sales, Customer Support, Growth, Finance, and Marketing. At Crossing Hurdles, our mission is to help organizations thrive by matching them with exceptional talent while simultaneously enabling candidates to find opportunities that foster long-term career growth and development.
…
show more","Photographer | $45/hr Remote | Mercor
Photographer | $45/hr Remote | Mercor",European Union (Remote),,,,"About the job
At Crossing Hurdles, we work as a referral partner. We refer candidates to Mercor that collaborates with the world’s leading AI research labs to build and train cutting-edge AI models.

Organization: Mercor
Position: Photography Experts – AI Trainer
Referral Partner: Crossing Hurdles
Type: Hourly Contract
Compensation: $45/hour
Location: Remote

Role (Training support will be provided):
Capture original, high-resolution photographs aligned with provided guidelines.
Adjust lighting, composition, and framing for consistency across image sets.
Work with flexible style prompts, including creative or atypical visual instructions.
Upload and tag image files using a standardized format.
Write clear, concise annotations describing the visual content, context, and style of each image.

Requirements
Proven track record of professional photography in commercial, editorial, or creative contexts.
Strong written communication skills for describing visual content.
Ability to work independently and interpret flexible briefs creatively.
Recent project experience preferred, especially with tech, fashion, lifestyle, or experimental work.
Comfort with digital submission tools and remote collaboration.

Application process: (Takes 20 min)
Upload resume
AI interview based on your resume (15 min)
Submit form",https://www.linkedin.com/jobs/view/4336600012/
7,Taskify AI,Staffing and Recruiting 11-50 employees 19 on LinkedIn,Staffing and Recruiting 11-50 employees 19 on LinkedIn,"Taskify AI Jobs is redefining how businesses connect with top talent by bringing together innovation, technology, and personalised recruiting expertise. Our AI-powered platform streamlines the hiring process, enabling companies to discover, engage, and hire skilled professionals faster and more efficiently than ever before. We combine deep market insights, automated candidate matching, and smart outreach to deliver results that help both employers and job seekers unlock their full potential.

Join us as we make staffing smarter, simpler, and more human—empowering organisations to build the workforce of tomorrow, today.
…
show more","Order Clerk (Remote)
Order Clerk (Remote)",European Union (Remote),,,,"About the job
Role: Order Clerk
Location: Remote
Pay: $5,000 - $7,000 Per Month

About the Role:
Mercor is seeking experienced order clerks to partner with a leading AI research lab focused on improving next-generation machine learning systems. In this project-based role, you’ll apply your real-world expertise in order management, fulfillment, and operations to help diagnose and resolve process inefficiencies — shaping how AI understands business workflows.

This is an exciting opportunity to contribute to cutting-edge AI research while enjoying the independence of flexible, remote work.

Key Responsibilities:
Develop structured deliverables that replicate real-world order processing workflows and tasks.
Review and refine peer-created deliverables to ensure accuracy and consistency for AI model training.
Identify common challenges, communication steps, and documentation practices in the order lifecycle.
Provide domain insights to improve the AI system’s understanding of operational processes.

Ideal Qualifications:
Strong understanding of order entry systems, tracking, invoicing, and customer coordination.
Excellent written communication skills with impeccable grammar and attention to detail.
Ability to work independently and asynchronously while meeting quality expectations.

More About the Opportunity:
Fully remote and asynchronous — work when it fits your schedule.
Expected workload: ~30 hours/week, with flexibility up to 40 hours.
Immediate start, project duration of 3–4 weeks.

Apply Now!",https://www.linkedin.com/jobs/view/4338767678/
8,VistaJet,"Airlines and Aviation 1,001-5,000 employees 2,051 on LinkedIn","Airlines and Aviation 1,001-5,000 employees 2,051 on LinkedIn","VistaJet is the first and only global business aviation company, leading the industry by setting higher standards of service and safety. On its fleet of silver and red business jets, VistaJet has flown corporations, governments and private clients to 187 countries, covering 96% of the world.

Founded in 2004, the company pioneered an innovative business model where customers have access to an entire fleet whilst paying only for the hours they fly, free of the responsibilities and asset risks linked to aircraft ownership. VistaJet’s signature Program membership offers clients a bespoke subscription of flight hours with guaranteed access to the Vista Members’ fleet of global aircraft, to fly them anytime, anywhere.

VistaJet is part of Vista — the world’s first private aviation ecosystem, integrating a unique portfolio of companies offering asset free solutions to cover all key aspects of business aviation.

More VistaJet information and news at vistajet.com
…
show more","Cabin Host/ess - Europe
Cabin Host/ess - Europe with verification",European Union (Remote),,,,"About the job
Job Profile 

Vista is the only true alternative to full and fractional aircraft ownership. Through our Program we offer our clients guaranteed availability on their chosen aircraft type, 24/7, 365, globally. We make business aviation simple and efficient while delivering the ultimate onboard experience.

Today, Vista operates to over 200 countries and territories with our silver and red business jets.

We a seeking highly motivated service professionals who are truly passionate about delivering the ultimate levels of excellence to our clients. You must strive to make every VistaJet flight a truly unique and memorable experience for our multicultural client base by creating a home away from home feeling onboard.

A tailored and unparalleled service standard. Anywhere. Anytime.

Requirements

 Required Skills, Qualifications, and Experience 

 Right to live and work in Europe or the United Kingdom. 
 Good command of the English language, both written and spoken. 
 Previous experience in a high-end luxury service and/or hospitality environment. 
 Clean criminal background check. 
 Clean drug test. 
 Vaccination records that are commensurate with worldwide operations.",https://www.linkedin.com/jobs/view/4321668492/
9,Wincent,Capital Markets 51-200 employees 35 on LinkedIn,Capital Markets 51-200 employees 35 on LinkedIn,"Since 2017, Wincent has been a high frequency crypto currency market making firm trading on the largest cryptocurrencies worldwide.

Our true edge lies in our talented team with experience from Google, Facebook, academia, data science, competitive programming, math and physics competitions (IOI, IMO, IPhO, ACM ICPC), sports betting and poker.
…
show more","Trading Operations Junior
Trading Operations Junior",European Economic Area (Remote),,,,"About the job
Launch your career.

Own real work from day one, learn fast with a high-quality team, and build real-world skills across ops, risk, and tooling. Steep learning, real responsibility, clear path up.

What You’ll Do

A hands-on start to your career. You’ll learn how markets actually work by operating the trading desk’s core workflows: trade booking, P&L, reconciliations, and cash management. You will monitor incoming and outgoing funds to make sure all transactions check out. When new opportunities arise, you will work with the trading team to set up new venues and products. As you progress, you’ll take on process design, automation, team oversight, gaining skills that open paths into trading, operations, risk, or finance.

What You’ll Bring

Diligent and detail-oriented.
Comfortable with numbers, sceptical and curious.
Excited to learn new things.
Interest in finance or crypto.
Good written and spoken English.

What You’ll Gain

Real ownership, trading exposure, no micromanagement.
Fast learning alongside a top trading team.
Competitive compensation, eligibility for semi-annual bonuses.
Clear progression path based on performance.
Front-row view of the fastest market on earth.
A great mix of benefits and perks.

Salary range is 2,000 - 3,000 EUR (month).

About Wincent

We’re a 150-person high-frequency crypto trading firm, moving $5B+ in daily volume. Already top-10 globally; aiming for #1.

Culture

Integrity first. We do work we’re proud of.
Say it straight. No politics, no fluff.
Trust by default. Transparent comp, bonuses, and how we operate.

Working at Wincent 

At Wincent, we foster a culture of transparency, ownership, and autonomy, where every team member is empowered to make a meaningful impact. We prioritize clear objectives and give you the freedom to innovate and grow within a supportive, high-performing environment.

We value exceptional TOP 1% talent over a perfect match to a job description. If our vision and values resonate with you, we’d love to hear from you. Don’t hesitate to reach out—let’s explore how you can be part of shaping the future of cryptocurrency trading with us!",https://www.linkedin.com/jobs/view/4320503403/
10,Mercier Consultancy Medical,Hospitals and Health Care 11-50 employees,Hospitals and Health Care 11-50 employees,,"Experienced Freelance Recruiter - Work Remote Worldwide
Experienced Freelance Recruiter - Work Remote Worldwide",France (Remote),,,,"About the job
Join the vibrant team at Mercier Consultancy MD as an Experienced Freelance Recruiter! We are on the lookout for passionate and skilled recruiters who are ready to take their careers to the next level while working remotely from anywhere in the world. This is your opportunity to make a substantial impact by connecting top talent with exciting career possibilities!

Your Key Contributions:

Utilize your recruitment expertise to source, engage, and attract top-tier candidates across various fields
Conduct meaningful and thorough interviews that assess both skills and cultural fit, ensuring each candidate is the perfect match
Develop strong relationships with candidates, guiding them throughout the recruitment process and making their experience delightful
Collaborate with hiring managers to gain deep insights into their needs, enabling you to find just the right talent for every role
Take ownership of the entire recruitment cycle, from crafting compelling job postings to successfully negotiating offers that create excitement
Stay on top of industry trends and best practices to continually enhance our talent acquisition strategies
Provide regular updates and reports to the management team, showcasing your recruitment successes and adjustments

Requirements

Proven experience in recruitment or talent acquisition—your expertise is invaluable!
Strong communication skills in English (additional languages are a plus) to connect with candidates globally
Ability to thrive in an independent remote work environment while managing your recruiting projects with ease
Familiarity with recruitment tools, job boards, and social media to attract the best talent
Detail-oriented and organized, ensuring you can track multiple roles effectively
A proactive and adaptable mindset that embraces the dynamics of recruiting in a fast-paced environment
Amped up to embark on exciting challenges and opportunities—let's create a successful recruitment journey together!

Benefits

Competitive Earnings Based On Commission
Work Remote Worldwide
And More..",https://www.linkedin.com/jobs/view/4335034497/
